,datetime,r_sen_2,avg_sen_2,std_sen_2,last_water,dow
166,2020-08-13 18:40:43,0,0.0,0.0,6 days 05:00:12,3
167,2020-08-13 18:50:43,0,0.0,0.0,6 days 05:10:12,3
168,2020-08-13 19:00:43,0,0.0,0.0,6 days 05:20:12,3
169,2020-08-13 19:10:43,0,0.0,0.0,6 days 05:30:12,3
170,2020-08-13 19:20:43,0,0.0,0.0,6 days 05:40:12,3
171,2020-08-13 19:30:43,0,0.0,0.0,6 days 05:50:12,3
172,2020-08-13 19:40:43,0,0.0,0.0,6 days 06:00:12,3
173,2020-08-13 19:50:43,0,0.0,0.0,6 days 06:10:12,3
174,2020-08-13 20:00:43,0,0.0,0.0,6 days 06:20:12,3
175,2020-08-13 20:10:43,0,0.0,0.0,6 days 06:30:12,3
176,2020-08-13 20:20:43,0,0.0,0.0,6 days 06:40:12,3
177,2020-08-13 20:30:43,0,0.0,0.0,6 days 06:50:12,3
178,2020-08-13 20:40:43,0,0.0,0.0,6 days 07:00:12,3
179,2020-08-13 20:50:43,0,0.0,0.0,6 days 07:10:12,3
180,2020-08-13 21:00:43,0,0.0,0.0,6 days 07:20:12,3
181,2020-08-13 21:10:43,0,0.0,0.0,6 days 07:30:12,3
182,2020-08-13 21:20:43,0,0.0,0.0,6 days 07:40:12,3
183,2020-08-13 21:30:43,0,0.0,0.0,6 days 07:50:12,3
184,2020-08-13 21:40:43,0,0.0,0.0,6 days 08:00:12,3
185,2020-08-13 21:50:43,0,0.0,0.0,6 days 08:10:12,3
186,2020-08-13 22:00:43,0,0.0,0.0,6 days 08:20:12,3
187,2020-08-13 22:10:43,0,0.0,0.0,6 days 08:30:12,3
188,2020-08-13 22:20:43,0,0.0,0.0,6 days 08:40:12,3
189,2020-08-13 22:30:43,0,0.0,0.0,6 days 08:50:12,3
190,2020-08-13 22:40:43,0,0.0,0.0,6 days 09:00:12,3
191,2020-08-13 22:50:43,0,0.0,0.0,6 days 09:10:12,3
192,2020-08-13 23:00:43,0,0.0,0.0,6 days 09:20:12,3
193,2020-08-13 23:10:43,0,0.0,0.0,6 days 09:30:12,3
194,2020-08-13 23:20:43,0,0.0,0.0,6 days 09:40:12,3
195,2020-08-13 23:30:43,0,0.0,0.0,6 days 09:50:12,3
196,2020-08-13 23:40:43,0,0.0,0.0,6 days 10:00:12,3
197,2020-08-13 23:50:43,0,0.0,0.0,6 days 10:10:12,3
198,2020-08-14 00:00:43,0,0.0,0.0,6 days 10:20:12,4
199,2020-08-14 00:10:43,0,0.0,0.0,6 days 10:30:12,4
